Question,Question Type,Sub Category,Category
How do you start and stop a service?,TECHNICAL,LINUX,Core
Explain the free command.,TECHNICAL,LINUX,Core
 Explain the key characteristic of Agile testing methodology. ,TECHNICAL,AGILETESTING,Testing
 What are the changes that an Agile development team has to accept with the addition of the testing process? ,TECHNICAL,AGILETESTING,Testing
 How Can Agile testing be advantageous to the developers? ,TECHNICAL,AGILETESTING,Testing
 Mention few differences between Agile and conventional methodologies. ,TECHNICAL,AGILETESTING,Testing
 Explain the Agile testing life cycle. ,TECHNICAL,AGILETESTING,Testing
 Differentiate sprint backlog and product backlog ,TECHNICAL,AGILETESTING,Testing
 What is velocity in Agile? ,TECHNICAL,AGILETESTING,Testing
 What is pair programming? ,TECHNICAL,AGILETESTING,Testing
 What is a test stub in Agile? ,TECHNICAL,AGILETESTING,Testing
 Mention the qualities that an excellent Agile tester should have. ,TECHNICAL,AGILETESTING,Testing
 Differentiate user stories tasks and epic. ,TECHNICAL,AGILETESTING,Testing
 Explain the term spike. ,TECHNICAL,AGILETESTING,Testing
 What is TDD (Test Driven Development)? ,TECHNICAL,AGILETESTING,Testing
 What is scrum-ban? ,TECHNICAL,AGILETESTING,Testing
 Explain the tracer bullet. ,TECHNICAL,AGILETESTING,Testing
 What do you mean by Taskboard in Agile? ,TECHNICAL,AGILETESTING,Testing
 Explain the difference between burn-down and burn-up in Agile? ,TECHNICAL,AGILETESTING,Testing
 What do you mean by refactoring also explain its importance in agile testing? ,TECHNICAL,AGILETESTING,Testing
 Explain the difference between agile and scrum? ,TECHNICAL,AGILETESTING,Testing
 What are the Advantages of Manual Testing and Automated Testing? ,TECHNICAL,TESTING,Testing
 How automation process is carried out? ,TECHNICAL,TESTING,Testing
 Elaborate the situation where automation testing can’t be used for agile methods? ,TECHNICAL,TESTING,Testing
 Name the frameworks that are used in Software Automation Testing? ,TECHNICAL,TESTING,Testing
 Elaborate the scripting standard while executing testing ,TECHNICAL,TESTING,Testing
 Notice the distinction between Data Driven Testing and Retesting? ,TECHNICAL,TESTING,Testing
 What is client side validation? Write a snippet. ,TECHNICAL,TESTING,Testing
 What is Selenium? ,TECHNICAL,TESTING,Testing
 What is Quick Test Professional and what test environment it supports? ,TECHNICAL,TESTING,Testing
 Elaborate the fields in Bug Report in automated testing ,TECHNICAL,TESTING,Testing
 What is the difference between Static and Dynamic Testing? ,TECHNICAL,TESTING,Testing
 Highlight attributes of good framework ,TECHNICAL,TESTING,Testing
 How do select which automation testing tool is the best for you? ,TECHNICAL,TESTING,Testing
 What is Self-referencing constraint in mainframe development? ,TECHNICAL,TESTING,Testing
 Elaborate Test Plan and content availability in test plan. ,TECHNICAL,TESTING,Testing
 What is Test Environment? Elaborate with example. ,TECHNICAL,TESTING,Testing
 How Software Testing is handled? ,TECHNICAL,TESTING,Testing
 Differentiate between HDAM and HIDAM Database? ,TECHNICAL,TESTING,Testing
 What is lock Contention? ,TECHNICAL,TESTING,Testing
 What are the different types of locks in mainframe? ,TECHNICAL,TESTING,Testing
 What is the difference between Continue and Next Sentence? ,TECHNICAL,TESTING,Testing
 Define some of the attributes of a test case? ,TECHNICAL,TESTING,Testing
 Simplify the term defect severity. ,TECHNICAL,TESTING,Testing
 Give some examples of priority – severity defect levels. ,TECHNICAL,TESTING,Testing
 What is a critical bug in a testing field? ,TECHNICAL,TESTING,Testing
 Define SDLC in testing. ,TECHNICAL,TESTING,Testing
 Is it possible to achieve 100% automation? ,TECHNICAL,TESTING,Testing
 Where to maintain information like login password and URL? ,TECHNICAL,TESTING,Testing
 Mention a few good practices while performing automation testing. ,TECHNICAL,TESTING,Testing
 Is UI level testing possible? ,TECHNICAL,TESTING,Testing
 How to select an automation tool best matched for your project? ,TECHNICAL,TESTING,Testing
 What are the advantages of Selenium as a test tool? ,TECHNICAL,SELENIUM,Testing
 What are the different components in Selenium? ,TECHNICAL,SELENIUM,Testing
 What are testing types supported by Selenium? ,TECHNICAL,SELENIUM,Testing
 What is the purpose of Selenium IDE? ,TECHNICAL,SELENIUM,Testing
 What do you mean by Selenese? ,TECHNICAL,SELENIUM,Testing
 How many types of locators are there in Selenium? ,TECHNICAL,SELENIUM,Testing
 How is Assert command different from Verify command? ,TECHNICAL,SELENIUM,Testing
 Explain XPath. ,TECHNICAL,SELENIUM,Testing
 How are Selenium IDE WebDriver and Selenium RC different from each other? ,TECHNICAL,SELENIUM,Testing
 What is the use of Selenium Grid? ,TECHNICAL,SELENIUM,Testing
 What are Selenium 1 and Selenium 2? ,TECHNICAL,SELENIUM,Testing
 Name the different types of waits in WebDriver. ,TECHNICAL,SELENIUM,Testing
 What are the uses of findElement() and findElements()? ,TECHNICAL,SELENIUM,Testing
 How is driver.close()command different from driver.quit command? ,TECHNICAL,SELENIUM,Testing
 Is Selenium capable of handling Windows pop-ups? ,TECHNICAL,SELENIUM,Testing
 How are web-based pop-ups handled in Selenium? ,TECHNICAL,SELENIUM,Testing
 Explain Junit. What are annotations? ,TECHNICAL,SELENIUM,Testing
 How is TestNG better than Junit? ,TECHNICAL,SELENIUM,Testing
 How is Selenium different from QTP? ,TECHNICAL,SELENIUM,Testing
What is Struts2?,TECHNICAL,STRUTS,Frameworks
What are the differences between Struts1 and Struts2 or how Struts2 is better than Struts1?,TECHNICAL,STRUTS,Frameworks
What are Struts2 core components?,TECHNICAL,STRUTS,Frameworks
What is interceptor in Struts2?,TECHNICAL,STRUTS,Frameworks
Which design pattern is implemented by Struts2 interceptors?,TECHNICAL,STRUTS,Frameworks
What are different ways to create Action classes in Struts2?,TECHNICAL,STRUTS,Frameworks
Does Struts2 action and interceptors are thread safe?,TECHNICAL,STRUTS,Frameworks
Name some useful annotations introduced in Struts2?,TECHNICAL,STRUTS,Frameworks
Provide some important Struts2 constants that you have used?,TECHNICAL,STRUTS,Frameworks
How can we upload files in Struts2 application?,TECHNICAL,STRUTS,Frameworks
What are best practices to follow while developing Struts2 application?,TECHNICAL,STRUTS,Frameworks
What is Spring Framework?,TECHNICAL,SPRING,Frameworks
What are some of the important features and advantages of Spring Framework?,TECHNICAL,SPRING,Frameworks
What do you understand by Dependency Injection?,TECHNICAL,SPRING,Frameworks
How do we implement Dependency Injection in Spring Framework?,TECHNICAL,SPRING,Frameworks
What do you understand by Aspect Oriented Programming?,TECHNICAL,SPRING,Frameworks
Name some of the important Spring Modules?,TECHNICAL,SPRING,Frameworks
What is a Spring Bean?,TECHNICAL,SPRING,Frameworks
What is a Controller in Spring MVC?,TECHNICAL,SPRING,Frameworks
How Spring is different than STRUTS?,TECHNICAL,SPRING,Frameworks
What is a difference between SPRING and HIBERNATE?,TECHNICAL,SPRING,Frameworks
How would you relate Spring MVC Framework to MVC architecture?,TECHNICAL,SPRING,Frameworks
What are some of the important Spring annotations you have used?,TECHNICAL,SPRING,Frameworks
How to integrate Spring and Hibernate Frameworks?,TECHNICAL,SPRING,Frameworks
What are some of the best practices for Spring Framework?,TECHNICAL,SPRING,Frameworks
What are other java frameworks you know other than Spring?,TECHNICAL,SPRING,Frameworks
Name some of the design patterns used in Spring Framework?,TECHNICAL,SPRING,Frameworks
What are the major features in different versions of Spring Framework?,TECHNICAL,SPRING,Frameworks
List the advantages of Spring Framework.,TECHNICAL,SPRING,Frameworks
What are the different features of Spring Framework?,TECHNICAL,SPRING,Frameworks
How many modules are there in Spring Framework and what are they?,TECHNICAL,SPRING,Frameworks
What is a Spring configuration file?,TECHNICAL,SPRING,Frameworks
What is Spring IOC Container?,TECHNICAL,SPRING,Frameworks
What do you mean by Dependency Injection? ,TECHNICAL,SPRING,Frameworks
Differentiate between BeanFactory and ApplicationContext.,TECHNICAL,SPRING,Frameworks
What do you mean by  Annotation-based container configuration?,TECHNICAL,SPRING,Frameworks
 What do you understand by @RequestMapping annotation?,TECHNICAL,SPRING,Frameworks
Describe Spring DAO support?,TECHNICAL,SPRING,Frameworks
 Which classes are present in spring JDBC API?,TECHNICAL,SPRING,Frameworks
What are the ways by which Hibernate can be accessed using Spring?,TECHNICAL,SPRING,Frameworks
Name the types of transaction management that Spring supports.,TECHNICAL,SPRING,Frameworks
What do you mean by Aspect?,TECHNICAL,SPRING,Frameworks
Explain JoinPoint in SPRING?.,TECHNICAL,SPRING,Frameworks
What do you mean by Spring MVC framework?,TECHNICAL,SPRING,Frameworks
What is HIBERNATE?,TECHNICAL,HIBERNATE,Frameworks
What is an ORM?,TECHNICAL,HIBERNATE,Frameworks
How HIBERNATE fastens the application development?,TECHNICAL,HIBERNATE,Frameworks
Have you used hibernate in any project?,TECHNICAL,HIBERNATE,Frameworks
What are the important benefits of using Hibernate Framework?,TECHNICAL,HIBERNATE,Frameworks
What are the advantages of Hibernate over JDBC?,TECHNICAL,HIBERNATE,Frameworks
Name some important interfaces of Hibernate framework?,TECHNICAL,HIBERNATE,Frameworks
What is Hibernate Session and how to get it?,TECHNICAL,HIBERNATE,Frameworks
What is Named SQL Query?,TECHNICAL,HIBERNATE,Frameworks
What is Scala? Is it a Language or Platform? Does it support OOP or FP? Who is the father of Scala?,TECHNICAL,SCALA,Frameworks
Is Scala Statically-Typed Language? What is Statically-Typed Language and What is Dynamically-Typed Language?,TECHNICAL,SCALA,Frameworks
What is the difference between statically typed and dynamically typed languages?,TECHNICAL,SCALA,Frameworks
Is Scala a Pure OOP Language? Is Java a Pure OOP Language?,TECHNICAL,SCALA,Frameworks
Does Scala support all Functional Programming concepts? Does Java 8 support all Functional Programming concepts?,TECHNICAL,SCALA,Frameworks
What are the major advantages of Scala Language? Are there any drawbacks of Scala Language?,TECHNICAL,SCALA,Frameworks
What is the Main drawback of Scala Language?,TECHNICAL,SCALA,Frameworks
What is the main motto of Scala Language?,TECHNICAL,SCALA,Frameworks
What are the popular JVM Languages available now?,TECHNICAL,SCALA,Frameworks
Like Java’s java.lang.Object class what is the super class of all classes in Scala?,TECHNICAL,SCALA,Frameworks
What is default access modifier in Scala?Does Scala have “public” keyword?,TECHNICAL,SCALA,Frameworks
Is Scala an Expression-Based Language or Statement-Based Language? Is Java an Expression-Based Language or Statement-Based Language?,TECHNICAL,SCALA,Frameworks
Tell me some features which are supported by Java but not by Scala and Vice versa?,TECHNICAL,SCALA,Frameworks
Mention Some keywords which are used by Java and not required in Scala? Why Scala does not require them?,TECHNICAL,SCALA,Frameworks
 Compare Hadoop and Spark Hadoop,TECHNICAL,SPARK,Frameworks
 What is Apache Spark?,TECHNICAL,SPARK,Frameworks
 Explain the key features of Apache Spark,TECHNICAL,SPARK,Frameworks
 What are the languages supported by Apache Spark and which is the most popular one?,TECHNICAL,SPARK,Frameworks
 What are benefits of Spark over MapReduce?,TECHNICAL,SPARK,Frameworks
 What is YARN?,TECHNICAL,SPARK,Frameworks
 Do you need to install Spark on all nodes of YARN cluster?,TECHNICAL,SPARK,Frameworks
 Is there any benefit of learning MapReduce if Spark is better than MapReduce?,TECHNICAL,SPARK,Frameworks
 Explain the concept of Resilient Distributed Dataset (RDD),TECHNICAL,SPARK,Frameworks
 How do we create RDDs in Spark?,TECHNICAL,SPARK,Frameworks
 What is Executor Memory in a Spark application?,TECHNICAL,SPARK,Frameworks
 Define Partitions in Apache Spark,TECHNICAL,SPARK,Frameworks
 What operations does RDD support?,TECHNICAL,SPARK,Frameworks
 What do you understand by Transformations in Spark?,TECHNICAL,SPARK,Frameworks
 Define Actions in Spark,TECHNICAL,SPARK,Frameworks
 Define functions of SparkCore,TECHNICAL,SPARK,Frameworks
 What do you understand by Pair RDD?,TECHNICAL,SPARK,Frameworks
 Name the components of Spark Ecosystem,TECHNICAL,SPARK,Frameworks
 How is Streaming implemented in Spark? Explain with examples,TECHNICAL,SPARK,Frameworks
 Is there an API for implementing graphs in Spark?,TECHNICAL,SPARK,Frameworks
 What is PageRank in GraphX?,TECHNICAL,SPARK,Frameworks
 How is machine learning implemented in Spark?,TECHNICAL,SPARK,Frameworks
 Is there a module to implement SQL in Spark? How does it work?,TECHNICAL,SPARK,Frameworks
 How can Apache Spark be used alongside Hadoop?,TECHNICAL,SPARK,Frameworks
 What is RDD Lineage?,TECHNICAL,SPARK,Frameworks
 What is Spark Driver?,TECHNICAL,SPARK,Frameworks
 What file systems does Spark support?,TECHNICAL,SPARK,Frameworks
 List the functions of Spark SQL,TECHNICAL,SPARK,Frameworks
 What is Spark Executor?,TECHNICAL,SPARK,Frameworks
 Name types of Cluster Managers in Spark,TECHNICAL,SPARK,Frameworks
 What do you understand by worker node?,TECHNICAL,SPARK,Frameworks
 Illustrate some demerits of using Spark,TECHNICAL,SPARK,Frameworks
 List some use cases where Spark outperforms Hadoop in processing,TECHNICAL,SPARK,Frameworks
 What is a Sparse Vector?,TECHNICAL,SPARK,Frameworks
 Can you use Spark to access and analyze data stored in Cassandra databases?,TECHNICAL,SPARK,Frameworks
 Is it possible to run Apache Spark on Apache Mesos?,TECHNICAL,SPARK,Frameworks
 How can Spark be connected to Apache Mesos?,TECHNICAL,SPARK,Frameworks
 How can you minimize data transfers when working with Spark?,TECHNICAL,SPARK,Frameworks
 What are broadcast variables?,TECHNICAL,SPARK,Frameworks
 Why is there a need for broadcast variables when working with Apa,TECHNICAL,SPARK,Frameworks
 How can you trigger automatic clean-ups in Spark to handle accumulated metadata?,TECHNICAL,SPARK,Frameworks
 What is the significance of Sliding Window operation?,TECHNICAL,SPARK,Frameworks
 When running Spark applications is it necessary to install Spark on all the nodes of YARN cluster?,TECHNICAL,SPARK,Frameworks
 What are the various data sources available in Spark SQL?,TECHNICAL,SPARK,Frameworks
 What are the various levels of persistence in Apache Spark?,TECHNICAL,SPARK,Frameworks
 Does Apache Spark provide checkpoints?,TECHNICAL,SPARK,Frameworks
 How Spark uses Akka?,TECHNICAL,SPARK,Frameworks
 What do you understand by Lazy Evaluation?,TECHNICAL,SPARK,Frameworks
 Explain a scenario where you will be using Spark Streaming,TECHNICAL,SPARK,Frameworks
What is CSS?,TECHNICAL,CSS,WebTech
What are the different variations of CSS?,TECHNICAL,CSS,WebTech
How can you integrate CSS on a web page?,TECHNICAL,CSS,WebTech
What are the advantages of CSS?,TECHNICAL,CSS,WebTech
What are the limitations of CSS?,TECHNICAL,CSS,WebTech
What are the CSS frameworks?,TECHNICAL,CSS,WebTech
Why background and color are the separate properties if they should always be set together?,TECHNICAL,CSS,WebTech
What is Embedded Style Sheet?,TECHNICAL,CSS,WebTech
What is a CSS selector?,TECHNICAL,CSS,WebTech
Name some CSS style components.,TECHNICAL,CSS,WebTech
What are the advantages of External Style Sheets?,TECHNICAL,CSS,WebTech
What is the difference between inline embedded and external style sheets?,TECHNICAL,CSS,WebTech
What is the difference between CSS2 and CSS3?,TECHNICAL,CSS,WebTech
What is AJAX?,TECHNICAL,AJAX,WebTech
What are the advantages of AJAX?,TECHNICAL,AJAX,WebTech
What are the disadvantages of AJAX?,TECHNICAL,AJAX,WebTech
What are the real web applications of AJAX currently running in the market?,TECHNICAL,AJAX,WebTech
What are the security issues with AJAX?,TECHNICAL,AJAX,WebTech
What is the difference between synchronous and asynchronous requests?,TECHNICAL,AJAX,WebTech
What are the technologies used by AJAX?,TECHNICAL,AJAX,WebTech
What is the purpose of XMLHttpRequest?,TECHNICAL,AJAX,WebTech
What are the properties of XMLHttpRequest?,TECHNICAL,AJAX,WebTech
What is the role of the callback function in AJAX?,TECHNICAL,AJAX,WebTech
What is JSON in AJAX?,TECHNICAL,AJAX,WebTech
What are the tools for debugging AJAX applications?,TECHNICAL,AJAX,WebTech
What is the difference between JavaScript and AJAX?,TECHNICAL,AJAX,WebTech
What is Node.js?,TECHNICAL,NODEJS,WebTech
What is the fundamental difference between Node.js and Ajax?,TECHNICAL,NODEJS,WebTech
Explain the term I/O in the context of Node.js.,TECHNICAL,NODEJS,WebTech
State where Node.js can be used.,TECHNICAL,NODEJS,WebTech
List the tools and IDEs that are used for Node.js.,TECHNICAL,NODEJS,WebTech
What is an error-first callback?,TECHNICAL,NODEJS,WebTech
In the context of Node.js differentiate between operational and programmer errors.,TECHNICAL,NODEJS,WebTech
Which is the framework that is most commonly used in Node.js?,TECHNICAL,NODEJS,WebTech
Define “event-driven programming.,TECHNICAL,NODEJS,WebTech
What are the two sections of event-driven programming?,TECHNICAL,NODEJS,WebTech
List some of the big advantages of using Node.js.,TECHNICAL,NODEJS,WebTech
List the steps involved in the Control Flow function.,TECHNICAL,NODEJS,WebTech
Can a user access DOM in a Node?,TECHNICAL,NODEJS,WebTech
In Node.js how do you access the last expression?,TECHNICAL,NODEJS,WebTech
In Node.js which command is used to import external libraries?,TECHNICAL,NODEJS,WebTech
What is the biggest drawback of Node.js?,TECHNICAL,NODEJS,WebTech
  Differentiate between Real DOM and Virtual DOM,TECHNICAL,REACTJS,WebTech
 What is React?,TECHNICAL,REACTJS,WebTech
 What are the features of React?,TECHNICAL,REACTJS,WebTech
 List some of the major advantages of React,TECHNICAL,REACTJS,WebTech
 What are the limitations of React?,TECHNICAL,REACTJS,WebTech
 What is JSX?,TECHNICAL,REACTJS,WebTech
 What do you understand by Virtual DOM? Explain its working,TECHNICAL,REACTJS,WebTech
 Why can’t browsers read JSX?,TECHNICAL,REACTJS,WebTech
 How different is React’s ES6 syntax when compared to ES5?,TECHNICAL,REACTJS,WebTech
 How is React different from Angular?,TECHNICAL,REACTJS,WebTech
 What do you understand from “In React everything is a component,TECHNICAL,REACTJS,WebTech
 Explain the purpose of render() in React,TECHNICAL,REACTJS,WebTech
 How can you embed two or more components into one?,TECHNICAL,REACTJS,WebTech
 What is Props?,TECHNICAL,REACTJS,WebTech
 What is a state in React and how is it used?,TECHNICAL,REACTJS,WebTech
 Differentiate between states and props,TECHNICAL,REACTJS,WebTech
 How can you update the state of a component?,TECHNICAL,REACTJS,WebTech
 What is arrow function in React? How is it used?,TECHNICAL,REACTJS,WebTech
 Differentiate between stateful and stateless components,TECHNICAL,REACTJS,WebTech
 What are the different phases of React component’s lifecycle?,TECHNICAL,REACTJS,WebTech
 Explain the lifecycle methods of React components in detail,TECHNICAL,REACTJS,WebTech
 What is an event in React?,TECHNICAL,REACTJS,WebTech
 How do you create an event in React?,TECHNICAL,REACTJS,WebTech
 What are synthetic events in React?,TECHNICAL,REACTJS,WebTech
 What do you understand by refs in React?,TECHNICAL,REACTJS,WebTech
 List some of the cases when you should use Refs,TECHNICAL,REACTJS,WebTech
 How do you modularize code in React?,TECHNICAL,REACTJS,WebTech
 What do you know about controlled and uncontrolled components?,TECHNICAL,REACTJS,WebTech
 What are Higher Order Components(HOC)?,TECHNICAL,REACTJS,WebTech
 What can you do with HOC?,TECHNICAL,REACTJS,WebTech
 What are Pure Components?,TECHNICAL,REACTJS,WebTech
 What is the significance of keys in React?,TECHNICAL,REACTJS,WebTech
 What were the major problems with MVC framework?,TECHNICAL,REACTJS,WebTech
 Explain Flux in react?,TECHNICAL,REACTJS,WebTech
 What are the three principles that Redux follows?,TECHNICAL,REACTJS,WebTech
 What do you understand by “S,TECHNICAL,REACTJS,WebTech
 List down the components of Redux,TECHNICAL,REACTJS,WebTech
 Show how the data flows through Redux?,TECHNICAL,REACTJS,WebTech
 How are Actions defined in Redux?,TECHNICAL,REACTJS,WebTech
 Explain the role of Reducer,TECHNICAL,REACTJS,WebTech
 What is the significance of Store in Redux?,TECHNICAL,REACTJS,WebTech
 How is Redux different from Flux?,TECHNICAL,REACTJS,WebTech
 What are the advantages of Redux?,TECHNICAL,REACTJS,WebTech
 What is React Router?,TECHNICAL,REACTJS,WebTech
 Why do we need a Router in React?,TECHNICAL,REACTJS,WebTech
 List down the advantages of React Router,TECHNICAL,REACTJS,WebTech
 How is React Router different from conventional routing?,TECHNICAL,REACTJS,WebTech
Explain what is Django?,TECHNICAL,DJANGO,Python
Mention what are the features available in Django?,TECHNICAL,DJANGO,Python
Mention the architecture of Django architecture?,TECHNICAL,DJANGO,Python
Why Django should be used for web-development?,TECHNICAL,DJANGO,Python
Explain how you can create a project in Django?,TECHNICAL,DJANGO,Python
Explain how you can set up the Database in Django?,TECHNICAL,DJANGO,Python
Give an example how you can write a VIEW in Django?,TECHNICAL,DJANGO,Python
Explain how you can setup static files in Django?,TECHNICAL,DJANGO,Python
Mention what does the Django templates consists of?,TECHNICAL,DJANGO,Python
Explain the use of session framework in Django?,TECHNICAL,DJANGO,Python
Explain how you can use file based sessions?,TECHNICAL,DJANGO,Python
Explain the migration in Django and how you can do in SQL?,TECHNICAL,DJANGO,Python
Mention what command line can be used to load data into Django?,TECHNICAL,DJANGO,Python
Explain what does django-admin.py makemessages command is used for?,TECHNICAL,DJANGO,Python
List out the inheritance styles in Django?,TECHNICAL,DJANGO,Python
Mention what does the Django field class types?,TECHNICAL,DJANGO,Python
What are the building blocks of Angular?,TECHNICAL,ANGULAR,WebTech
Can you give us an overview of Angular architecture?,TECHNICAL,ANGULAR,WebTech
What is Angular Material?,TECHNICAL,ANGULAR,WebTech
 What is AOT (Ahead-Of-Time) Compilation?,TECHNICAL,ANGULAR,WebTech
 What is Data Binding? How many ways it can be done?,TECHNICAL,ANGULAR,WebTech
What is SPA (Single Page Application) in Angular?,TECHNICAL,ANGULAR,WebTech
 Contrast SPA technology with traditional web technology?,TECHNICAL,ANGULAR,WebTech
What is the process called by which TypeScript code is converted into JavaScript code?,TECHNICAL,ANGULAR,WebTech
What is Angular?,TECHNICAL,ANGULAR,WebTech
What is the difference between AngularJS and Angular?,TECHNICAL,ANGULAR,WebTech
What is TypeScript?,TECHNICAL,ANGULAR,WebTech
What are the key components of Angular?,TECHNICAL,ANGULAR,WebTech
What are directives in Angular?,TECHNICAL,ANGULAR,WebTech
What are components in Angular?,TECHNICAL,ANGULAR,WebTech
What are the differences between Component and Directive in Angular?,TECHNICAL,ANGULAR,WebTech
What is a template in Angular?,TECHNICAL,ANGULAR,WebTech
What is a module in Angular?,TECHNICAL,ANGULAR,WebTech
What are lifecycle hooks available in Angular?,TECHNICAL,ANGULAR,WebTech
What is a data binding in Angular?,TECHNICAL,ANGULAR,WebTech
What is metadata in Angular?,TECHNICAL,ANGULAR,WebTech
What is Angular CLI?,TECHNICAL,ANGULAR,WebTech
What is a service in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is dependency injection in Angular?,TECHNICAL,ANGULAR,WebTech
How is Dependency Hierarchy formed in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is the purpose of async pipe in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What happens if you use script tag inside template in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is interpolation in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What are template statements in ANGULAR?,TECHNICAL,ANGULAR,WebTech
How do you categorize data binding types in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What are pipes in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What are observables in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is HttpClient and its benefits in ANGULAR?,TECHNICAL,ANGULAR,WebTech
Explain on how to use HttpClient with an example in ANGULAR?,TECHNICAL,ANGULAR,WebTech
How can you read full response in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is RxJS in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is subscribing in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is an observable in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is an observer in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is the difference between promise and observable in ANGULAR?,TECHNICAL,ANGULAR,WebTech
What is multicasting in ANGULAR?,TECHNICAL,ANGULAR,WebTech
 What is jQuery?,TECHNICAL,JQUERY,WebTech
 Why jQuery is needed?,TECHNICAL,JQUERY,WebTech
 Whether jQuery HTML work for both HTML and XML documents?,TECHNICAL,JQUERY,WebTech
 What are the methods used to provide effects?,TECHNICAL,JQUERY,WebTech
 What is the advantage of using minimized version of jQuery?,TECHNICAL,JQUERY,WebTech
 Is jQuery is a JavaScript or JSON library file?,TECHNICAL,JQUERY,WebTech
 Which operating system is more compatible with jQuery?,TECHNICAL,JQUERY,WebTech
 How can we include jQuery library in ASP,TECHNICAL,JQUERY,WebTech
 Which command will give a version of jQuery?,TECHNICAL,JQUERY,WebTech
 In what scenarios jQuery can be used?,TECHNICAL,JQUERY,WebTech
 What is the difference between find and children methods?,TECHNICAL,JQUERY,WebTech
 What is jQuery connect?,TECHNICAL,JQUERY,WebTech
 How to use connect?,TECHNICAL,JQUERY,WebTech
 What are the features of jQuery has been used in web applications?,TECHNICAL,JQUERY,WebTech
 What are the browser related issues for jQuery?,TECHNICAL,JQUERY,WebTech
 Whether we need to add jQuery file in both Master and Content page?,TECHNICAL,JQUERY,WebTech
 What are the basic selectors in jQuery?,TECHNICAL,JQUERY,WebTech
 Can we call C# code behind using jQuery?,TECHNICAL,JQUERY,WebTech
 What is the use jQuery,TECHNICAL,JQUERY,WebTech
 What is the use of each function in jQuery?,TECHNICAL,JQUERY,WebTech
 What is the difference between size and length of jQuery?,TECHNICAL,JQUERY,WebTech
 Can we add more than one ‘document,TECHNICAL,JQUERY,WebTech
 What is the use of jQuery load method?,TECHNICAL,JQUERY,WebTech
 Whether our own specific characters are used in place of $ in jQuery?,TECHNICAL,JQUERY,WebTech
 What are the four parameters used for jQuery Ajax method?,TECHNICAL,JQUERY,WebTech
 What is the use of jQuery filter?,TECHNICAL,JQUERY,WebTech
 Which program is useful for testing jQuery?,TECHNICAL,JQUERY,WebTech
 What is CDN?,TECHNICAL,JQUERY,WebTech
 What are the two types of CDNs?,TECHNICAL,JQUERY,WebTech
 Which sign is used as a shortcut for jQuery?,TECHNICAL,JQUERY,WebTech
 Is jQuery is a client or server scripting?,TECHNICAL,JQUERY,WebTech
 What is the script build up by jQuery?,TECHNICAL,JQUERY,WebTech
 How can we debug jQuery?,TECHNICAL,JQUERY,WebTech
 What are all the ways to include jQuery in a page?,TECHNICAL,JQUERY,WebTech
 What is the use of jQuery,TECHNICAL,JQUERY,WebTech
 Where can we download JQuery?,TECHNICAL,JQUERY,WebTech
 Is jQuery is a replacement of JavaScript?,TECHNICAL,JQUERY,WebTech
 What is called chaining?,TECHNICAL,JQUERY,WebTech
 What are the advantages of jQuery?,TECHNICAL,JQUERY,WebTech
 Whether C# code behind can be called from jQuery?,TECHNICAL,JQUERY,WebTech
 What is the difference between onload() and document,TECHNICAL,JQUERY,WebTech
 What is the use of jQuery each function?,TECHNICAL,JQUERY,WebTech
 How method can be called inside code behind using jQuery?,TECHNICAL,JQUERY,WebTech
 Which is the fastest selector in jQuery?,TECHNICAL,JQUERY,WebTech
 What is the slowest selector in jQuery?,TECHNICAL,JQUERY,WebTech
 Where jQuery code is getting executed?,TECHNICAL,JQUERY,WebTech
 What is the method used to define the specific character in place of $ sign?,TECHNICAL,JQUERY,WebTech
 Why jQuery is better than JavaScript?,TECHNICAL,JQUERY,WebTech
 What are the types of selectors in jQuery?,TECHNICAL,JQUERY,WebTech
 Explain what is backbone.js ?,TECHNICAL,BACKBONE,WebTech
 What are the main components of Backbone.js ?,TECHNICAL,BACKBONE,WebTech
 Explain what is Backbone.js collections ?,TECHNICAL,BACKBONE,WebTech
 Explain what is Backbone.js router is used for ?,TECHNICAL,BACKBONE,WebTech
 What is Backbone events ?,TECHNICAL,BACKBONE,WebTech
 What are the keypoints of Backbone ?,TECHNICAL,BACKBONE,WebTech
 Why you have to use Backbone ? Advantages ?,TECHNICAL,BACKBONE,WebTech
 What are the three js files that you require to setup a working environment for backbone?,TECHNICAL,BACKBONE,WebTech
 Explain when you require Backbone.js ?,TECHNICAL,BACKBONE,WebTech
 Explain what is view in Backbone.js?,TECHNICAL,BACKBONE,WebTech
 Explain what is Backbone.js Models?,TECHNICAL,BACKBONE,WebTech
 Explain how you can use backbone.js for multiple page web app ?,TECHNICAL,BACKBONE,WebTech
