Question,Question Type,Sub Category,Category
Have you ever gotten lost while traveling? If so tell about it.,NON_TECHNICAL,TRAVELLING,HOBBY
Have you ever hitchhiked? If so how many times?,NON_TECHNICAL,TRAVELLING,HOBBY
Have you ever taken a package tour?,NON_TECHNICAL,TRAVELLING,HOBBY
How do you spend your time when you are on holiday and the weather is bad?,NON_TECHNICAL,TRAVELLING,HOBBY
How many countries have you been to? How many states?,NON_TECHNICAL,TRAVELLING,HOBBY
How many times have you traveled abroad?,NON_TECHNICAL,TRAVELLING,HOBBY
How much luggage do you usually carry?,NON_TECHNICAL,TRAVELLING,HOBBY
If you traveled to South America what countries would like to visit?,NON_TECHNICAL,TRAVELLING,HOBBY
If you went to ___(Insert a country name)__ what kind of souvenirs would you buy?,NON_TECHNICAL,TRAVELLING,HOBBY
If you were going on a camping trip for a week what 10 things would you bring? Explain why.,NON_TECHNICAL,TRAVELLING,HOBBY
What are some countries that you would never visit? Why would you not visit them?,NON_TECHNICAL,TRAVELLING,HOBBY
What are some things that you always take with you on a trip?,NON_TECHNICAL,TRAVELLING,HOBBY
What countries would you like to visit? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
What countries would you most like to visit?,NON_TECHNICAL,TRAVELLING,HOBBY
What countries would you not like to visit? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
What country do you most want to visit?Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you think you will ever go there?,NON_TECHNICAL,TRAVELLING,HOBBY
What do you need before you can travel to another country?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the most interesting city to visit in your country?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the most interesting souvenir that you have ever bought on one of your holidays?,NON_TECHNICAL,TRAVELLING,HOBBY
What languages can you speak?,NON_TECHNICAL,TRAVELLING,HOBBY
What place do you want to visit someday?,NON_TECHNICAL,TRAVELLING,HOBBY
What was the most interesting place you have ever visited?,NON_TECHNICAL,TRAVELLING,HOBBY
What's the most beautiful place you've ever been to?,NON_TECHNICAL,TRAVELLING,HOBBY
When was the last time your traveled?,NON_TECHNICAL,TRAVELLING,HOBBY
When you are on a long car journey do you play games or sing songs to occupy your time?,NON_TECHNICAL,TRAVELLING,HOBBY
Where are you going to go the next time you travel?,NON_TECHNICAL,TRAVELLING,HOBBY
Where did you go on your last vacation?Who did you go with?,NON_TECHNICAL,TRAVELLING,HOBBY
Where did you spend your last vacation? Your summer vacation? Your Christmas vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
Where will you go on your next vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
Would you like to take a cruise? Where to? With who?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer traveling on a hovercraft or a ferry?,NON_TECHNICAL,TRAVELLING,HOBBY
Would you prefer to stay at a hotel/motel or camp while on vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
Would you rather visit another country or travel within your own country?,NON_TECHNICAL,TRAVELLING,HOBBY
Would you rather go to a place where there are a lot of people or to a place where there are few people?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you find more fulfillment from your leisure activities including vacations than from your job?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you think the type of vacation one takes reflects one's social status?,NON_TECHNICAL,TRAVELLING,HOBBY
What are popular tourist destinations in your country?,NON_TECHNICAL,TRAVELLING,HOBBY
Which tourist would you recommend if you could only recommend one? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer active or relaxing holidays? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Which is better package tour or a tour you organize and book yourself?,NON_TECHNICAL,TRAVELLING,HOBBY
Why do you travel?,NON_TECHNICAL,TRAVELLING,HOBBY
Would you like to go back to the same place?,NON_TECHNICAL,TRAVELLING,HOBBY
Did you find anything of particular interest? / Did you get attracted to anything special?,NON_TECHNICAL,TRAVELLING,HOBBY
What are some benefits of travel?,NON_TECHNICAL,TRAVELLING,HOBBY
Why do people travel?,NON_TECHNICAL,TRAVELLING,HOBBY
What is your favorite mode of travel?,NON_TECHNICAL,TRAVELLING,HOBBY
Have you travelled in business class?,NON_TECHNICAL,TRAVELLING,HOBBY
When you were a child did your family take a vacation every year?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer a budget or first class hotel? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you travel with a lot of baggage or do you like to travel light?,NON_TECHNICAL,TRAVELLING,HOBBY
What is your favorite method of travel at your destination? Train? Bus? Boat? Bicycle? Backpacking?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the best kind of holiday for different ages of people? Children? Teenagers? Adults? Elderly people?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you think it is a good idea to travel with friends or alone? How about with your family?,NON_TECHNICAL,TRAVELLING,HOBBY
If you had 10 Lakh rupees where would you go on holiday? How about if you had 1 lakh rupees? What about 10 thousand rupees?,NON_TECHNICAL,TRAVELLING,HOBBY
Which countries have you travelled to?,NON_TECHNICAL,TRAVELLING,HOBBY
 Do you prefer hot countries or cool countries when you go on holiday,NON_TECHNICAL,TRAVELLING,HOBBY
Who makes the decisions when your family decides to go on holiday,NON_TECHNICAL,TRAVELLING,HOBBY
If you could choose one place to go this weekend where would it be? ,NON_TECHNICAL,TRAVELLING,HOBBY
Has the airline ever lost your luggage? What happened?,NON_TECHNICAL,TRAVELLING,HOBBY
On long flights do you usually walk around the plane to avoid health problems?,NON_TECHNICAL,TRAVELLING,HOBBY
Have you ever read an interesting question in an in-flight magazine? What was it?,NON_TECHNICAL,TRAVELLING,HOBBY
Is there any difference between young tourists and adult tourists?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you think tourism will harm the earth?,NON_TECHNICAL,TRAVELLING,HOBBY
Where do you like to go on vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
Where would you like to go on vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
Tell your partner about your best travel story.,NON_TECHNICAL,TRAVELLING,HOBBY
What are some things you always take with you on a trip?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer package tours or making your own trip?,NON_TECHNICAL,TRAVELLING,HOBBY
Where did you spend your last vacation? What did you do?,NON_TECHNICAL,TRAVELLING,HOBBY
What are some of the benefits of traveling alone?,NON_TECHNICAL,TRAVELLING,HOBBY
What are some of the benefits of traveling with a group?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the longest journey you have ever made?,NON_TECHNICAL,TRAVELLING,HOBBY
What’s the best way to travel? (By plane ship train car etc.),NON_TECHNICAL,TRAVELLING,HOBBY
Where is the most amazing place you have been?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the best and worst thing about traveling to a new country?,NON_TECHNICAL,TRAVELLING,HOBBY
Where do you prefer to stay when you go on vacation? (Hotel hostel Airbnb house / room etc.),NON_TECHNICAL,TRAVELLING,HOBBY
What are your best travel tips?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the strangest food you’ve seen or eaten while on vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
What do you like to do while you are traveling? (i.e. relax shop sight see experience local culture…),NON_TECHNICAL,TRAVELLING,HOBBY
How often do you travel?,NON_TECHNICAL,TRAVELLING,HOBBY
What souvenirs have you brought back from traveling?,NON_TECHNICAL,TRAVELLING,HOBBY
Where are you going for your next trip?,NON_TECHNICAL,TRAVELLING,HOBBY
Where are the best places to go on vacation in your country?,NON_TECHNICAL,TRAVELLING,HOBBY
Who in your family travels the most?,NON_TECHNICAL,TRAVELLING,HOBBY
What popular travel destination do you want to avoid?,NON_TECHNICAL,TRAVELLING,HOBBY
How adventurous are you when you travel?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you try to learn some of the local language before you travel to a new country? What phrases do you try to learn?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the longest trip you’ve taken?,NON_TECHNICAL,TRAVELLING,HOBBY
How much vacation time do you get a year?,NON_TECHNICAL,TRAVELLING,HOBBY
What do you usually forget to bring when you go on vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
What do you miss most when you are traveling?,NON_TECHNICAL,TRAVELLING,HOBBY
What was the worst flight that you have taken?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the ideal length for a vacation?,NON_TECHNICAL,TRAVELLING,HOBBY
How important is tourism in your country?,NON_TECHNICAL,TRAVELLING,HOBBY
What is the biggest tourist destination in your country?,NON_TECHNICAL,TRAVELLING,HOBBY
What are the benefits of international tourism? Are there any drawbacks?,NON_TECHNICAL,TRAVELLING,HOBBY
Do you prefer tourism package tours or do you prefer to plan your own vacations? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Is it better to go to popular tourist destinations or lesser known tourist destinations? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
Should a government try to improve domestic tourism or try to attract international tourists instead? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
What’s the best way to travel when you visit a country? Train car bicycle bus some other way? Why?,NON_TECHNICAL,TRAVELLING,HOBBY
If you could create a tourism slogan for your country what would it be?,NON_TECHNICAL,TRAVELLING,HOBBY
What’s the best way for a country to bring in more tourists?,NON_TECHNICAL,TRAVELLING,HOBBY
How do you feel about tourists who visit your country?,NON_TECHNICAL,TRAVELLING,HOBBY
What are some sports you like watching? Why?,NON_TECHNICAL,SPORTS,HOBBY
What are some sports you dislike watching? Why?,NON_TECHNICAL,SPORTS,HOBBY
Do you play any sports? If so which ones?,NON_TECHNICAL,SPORTS,HOBBY
Would you like to learn how to play a sport or do an activity? What would you like to learn?,NON_TECHNICAL,SPORTS,HOBBY
Why are sports so popular?,NON_TECHNICAL,SPORTS,HOBBY
Do you know of any interesting or strange sports or activities?,NON_TECHNICAL,SPORTS,HOBBY
What two sports would you like to mix?,NON_TECHNICAL,SPORTS,HOBBY
Do you prefer to watch sports or play them? Why,NON_TECHNICAL,SPORTS,HOBBY
What do you think is the most dangerous sport?,NON_TECHNICAL,SPORTS,HOBBY
What do you think of athletes making so much money? Is it a good thing or a bad thing?,NON_TECHNICAL,SPORTS,HOBBY
How often do you cook?,NON_TECHNICAL,COOKING,HOBBY
How good are you at cooking?,NON_TECHNICAL,COOKING,HOBBY
What are some things that you can cook?,NON_TECHNICAL,COOKING,HOBBY
What dish or food are you best at cooking?,NON_TECHNICAL,COOKING,HOBBY
Do you think you can cook better than your mother?,NON_TECHNICAL,COOKING,HOBBY
Who is a better cook your mother or your grandmother?,NON_TECHNICAL,COOKING,HOBBY
Are cooking shows popular in your country? Do you watch any cooking shows?,NON_TECHNICAL,COOKING,HOBBY
What is the hardest thing to cook?,NON_TECHNICAL,COOKING,HOBBY
What are some of the advantages of cooking your meals at home? How about the disadvantages?,NON_TECHNICAL,COOKING,HOBBY
 Is it important for husbands to know how to cook?,NON_TECHNICAL,COOKING,HOBBY
Does your father cook?,NON_TECHNICAL,COOKING,HOBBY
Who is the best cook you know?,NON_TECHNICAL,COOKING,HOBBY
Would you like to be a chef? Why?,NON_TECHNICAL,COOKING,HOBBY
If you had your own personal chef what meal would you ask for most?,NON_TECHNICAL,COOKING,HOBBY
How hard is it to become a chef? What do you have to do to become a chef?,NON_TECHNICAL,COOKING,HOBBY
Talk about what you have eaten today.,NON_TECHNICAL,EATING,HOBBY
What is the most unhealthy food you can think of?,NON_TECHNICAL,EATING,HOBBY
What do people need to eat more of?,NON_TECHNICAL,EATING,HOBBY
Do you usually eat healthy food?,NON_TECHNICAL,EATING,HOBBY
What are some different types of diets you have heard of?,NON_TECHNICAL,EATING,HOBBY
Do you think your parents ate healthier food at your age than you do? How about your grandparents?,NON_TECHNICAL,EATING,HOBBY
Do you eat a lot of small portions or a few large portions of food each day?,NON_TECHNICAL,EATING,HOBBY
Do you think people from your country usually eat healthy food?,NON_TECHNICAL,EATING,HOBBY
What are some things about your eating habits you want to change?,NON_TECHNICAL,EATING,HOBBY
Do you think that organic food is much better than normal food or are they about the same?,NON_TECHNICAL,EATING,HOBBY
Why is organic food so much more expensive?,NON_TECHNICAL,EATING,HOBBY
What is traditional food in your country like? Is it healthy?,NON_TECHNICAL,EATING,HOBBY
Do you think that a person s eating habits affect how long they will live?,NON_TECHNICAL,EATING,HOBBY
What is your favorite snack?,NON_TECHNICAL,EATING,HOBBY
What unhealthy food do you love?,NON_TECHNICAL,EATING,HOBBY
What food did your mother always tell you to eat and not to eat?,NON_TECHNICAL,EATING,HOBBY
What food helps with which health problem?,NON_TECHNICAL,EATING,HOBBY
What is the future of food in your country?,NON_TECHNICAL,EATING,HOBBY
What kinds of food did you eat when you were a child? Do you eat the same things now?,NON_TECHNICAL,EATING,HOBBY
What is the best food to eat when you are sick?,NON_TECHNICAL,EATING,HOBBY
What is your favorite food that your mother/father cooks?,NON_TECHNICAL,EATING,HOBBY
Do you prefer to eat unhealthy or healthy food?,NON_TECHNICAL,EATING,HOBBY
How often do you eat out?,NON_TECHNICAL,EATING,HOBBY
If you could have any food right now what would it be?,NON_TECHNICAL,EATING,HOBBY
How would you describe your country’s food?,NON_TECHNICAL,EATING,HOBBY
What dishes from your country are often confused by tourists or foreigners?,NON_TECHNICAL,EATING,HOBBY
What is your favorite food? What is in it?,NON_TECHNICAL,EATING,HOBBY
Can you think of any of your country’s cuisine that other countries influenced?,NON_TECHNICAL,EATING,HOBBY
What is your favorite foreign food? How is it different from your country’s cuisine?,NON_TECHNICAL,EATING,HOBBY
How often do you eat foreign food and how often do you eat your country’s cuisine?,NON_TECHNICAL,EATING,HOBBY
Where is the best place to eat in your town? Why is it so good?,NON_TECHNICAL,EATING,HOBBY
Do you eat a healthy diet? Why or why not?,NON_TECHNICAL,EATING,HOBBY
What could you do to improve your diet?,NON_TECHNICAL,EATING,HOBBY
Have you ever gone on a diet to improve your health or lose weight? How well did it work?,NON_TECHNICAL,EATING,HOBBY
Describe your favorite food. What ingredients are in it? Why is it your favorite?,NON_TECHNICAL,EATING,HOBBY
Do you eat different foods depending on the season or weather? Give some examples.,NON_TECHNICAL,EATING,HOBBY
What kinds of food can you cook? Would you like to learn how to cook more types of food?,NON_TECHNICAL,EATING,HOBBY
What is your least favorite fast food restaurant and why?,NON_TECHNICAL,EATING,HOBBY
Does fast food taste good or bad? Why?,NON_TECHNICAL,EATING,HOBBY
Why is fast food so popular?,NON_TECHNICAL,EATING,HOBBY
How often do you eat fast food? What do you usually eat? Where?,NON_TECHNICAL,EATING,HOBBY
What is a food that people think is healthy but really isn’t?,NON_TECHNICAL,EATING,HOBBY
Do you know anyone who has worked at a fast food restaurant? How did they like it?,NON_TECHNICAL,EATING,HOBBY
How has fast food changed in your country?,NON_TECHNICAL,EATING,HOBBY
How is your country’s fast food different from other countries’ fast food?,NON_TECHNICAL,EATING,HOBBY
Can you think of any healthy fast food?,NON_TECHNICAL,EATING,HOBBY
How would you define fast food?,NON_TECHNICAL,EATING,HOBBY
What kind of photos do you enjoy looking at?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
What type of pictures do you keep in your family's photo albums?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Why do people take photos?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
What kind of camera do you have?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Should pictures be posted on the internet without permission?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Have you ever wished you had not been in a particular picture?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
When can taking pictures be an invasion of your privacy?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
How do you like to look at photos?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Do you have a camera?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Do you always bring a camera wherever you go for vacation?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
 Is it really important to have pictures?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
What places have you taken for a picture?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Do you have a favorite photo of you?,NON_TECHNICAL,PHOTOGRAPHY,HOBBY
Who are your favorite bands or artists?,NON_TECHNICAL,MUSIC,HOBBY
How often do you listen to music?,NON_TECHNICAL,MUSIC,HOBBY
When was the last time you bought a song or album?,NON_TECHNICAL,MUSIC,HOBBY
Do you usually buy albums online or CD’s from the store?,NON_TECHNICAL,MUSIC,HOBBY
Have you ever illegally downloaded music? Do you think it is okay or not okay to download music illegally?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music do you listen to when you want to dance?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music do you listen to when you are sad?,NON_TECHNICAL,MUSIC,HOBBY
Is there a certain song or type of music that makes you really energetic?,NON_TECHNICAL,MUSIC,HOBBY
Do you think music is getting better or worse?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music will your kids listen to?,NON_TECHNICAL,MUSIC,HOBBY
What music did your parents listen to?,NON_TECHNICAL,MUSIC,HOBBY
How do you feel about your country’s traditional music?,NON_TECHNICAL,MUSIC,HOBBY
Should people try to modernize traditional music?,NON_TECHNICAL,MUSIC,HOBBY
How is your country’s traditional music different from other countries’ traditional music? ,NON_TECHNICAL,MUSIC,HOBBY
How good are you at singing?,NON_TECHNICAL,MUSIC,HOBBY
Where do you sing most?,NON_TECHNICAL,MUSIC,HOBBY
How often do you do karaoke?,NON_TECHNICAL,MUSIC,HOBBY
What song are you best at singing?,NON_TECHNICAL,MUSIC,HOBBY
What song do you have to sing along with when you hear it?,NON_TECHNICAL,MUSIC,HOBBY
Whose singing do you hate?,NON_TECHNICAL,MUSIC,HOBBY
Can you sing your country’s national anthem?,NON_TECHNICAL,MUSIC,HOBBY
Who is the best singer you personally know? How about the worst?,NON_TECHNICAL,MUSIC,HOBBY
Can singing be learned or are people born with the ability to sing?,NON_TECHNICAL,MUSIC,HOBBY
When was the last time you sang in front of someone?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music do you like?,NON_TECHNICAL,MUSIC,HOBBY
Are you a good singer?,NON_TECHNICAL,MUSIC,HOBBY
Can you concentrate on other things when you are listening to music?,NON_TECHNICAL,MUSIC,HOBBY
Can you play a musical instrument?,NON_TECHNICAL,MUSIC,HOBBY
Can you play the drums?,NON_TECHNICAL,MUSIC,HOBBY
Can you play the guitar?,NON_TECHNICAL,MUSIC,HOBBY
Do you enjoy music videos?,NON_TECHNICAL,MUSIC,HOBBY
Do you ever listen to MP3 files on your computer?,NON_TECHNICAL,MUSIC,HOBBY
Do you have an expensive stereo system? ,NON_TECHNICAL,MUSIC,HOBBY
Do you know the band named Metallica? If so do you like them?,NON_TECHNICAL,MUSIC,HOBBY
Do you like all kinds of music?,NON_TECHNICAL,MUSIC,HOBBY
Do you like to listen classical music?,NON_TECHNICAL,MUSIC,HOBBY
Do you like to listen country music?,NON_TECHNICAL,MUSIC,HOBBY
Who is your favorite country singer?,NON_TECHNICAL,MUSIC,HOBBY
Do you listen to music while doing your homework?,NON_TECHNICAL,MUSIC,HOBBY
Do you sing while taking a bath?,NON_TECHNICAL,MUSIC,HOBBY
Do you think there is a relationship between drugs and music? ,NON_TECHNICAL,MUSIC,HOBBY
Do you think your favorite music twenty years from now will be the same as it is today?,NON_TECHNICAL,MUSIC,HOBBY
Do you watch music shows on TV? If so what do you watch?,NON_TECHNICAL,MUSIC,HOBBY
Does you mother play the piano?,NON_TECHNICAL,MUSIC,HOBBY
Have you ever been to a concert?,NON_TECHNICAL,MUSIC,HOBBY
Have you ever taken part in a singing competition?,NON_TECHNICAL,MUSIC,HOBBY
How does music make you feel?,NON_TECHNICAL,MUSIC,HOBBY
How much time do you spend listening to music?,NON_TECHNICAL,MUSIC,HOBBY
If you could play any musical instrument what would it be?,NON_TECHNICAL,MUSIC,HOBBY
If you could start a band what type of music would you play? Why?,NON_TECHNICAL,MUSIC,HOBBY
If you were a song what song would you be and why?,NON_TECHNICAL,MUSIC,HOBBY
Is there any kind of music that you hate?,NON_TECHNICAL,MUSIC,HOBBY
What are some special or traditional musical instruments in your country?,NON_TECHNICAL,MUSIC,HOBBY
What do you think the world would be like without music?,NON_TECHNICAL,MUSIC,HOBBY
What is one of your favorite songs?,NON_TECHNICAL,MUSIC,HOBBY
What is your favorite kind of music?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music do you listen to to cheer you up?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music do you usually listen to?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music do your parents listen to?,NON_TECHNICAL,MUSIC,HOBBY
What kind of music you like the most?,NON_TECHNICAL,MUSIC,HOBBY
What kind of songs do you like to sing?,NON_TECHNICAL,MUSIC,HOBBY
What kinds of music do people listen to in your country?,NON_TECHNICAL,MUSIC,HOBBY
What kinds of music do you dislike?,NON_TECHNICAL,MUSIC,HOBBY
What was the last concert you went to?,NON_TECHNICAL,MUSIC,HOBBY
What was your favorite music five years ago? 10 years ago? How have your musical tastes changed?,NON_TECHNICAL,MUSIC,HOBBY
When was the last time you went to a concert?,NON_TECHNICAL,MUSIC,HOBBY
Where do you usually listen to music?,NON_TECHNICAL,MUSIC,HOBBY
Which do you prefer songs in English or songs in your own language?,NON_TECHNICAL,MUSIC,HOBBY
Who is your favorite singer or group?,NON_TECHNICAL,MUSIC,HOBBY
Who is your favorite singer?,NON_TECHNICAL,MUSIC,HOBBY
Why do you think music is important and how does it affect different people?,NON_TECHNICAL,MUSIC,HOBBY
Why is music so important to people and culture?,NON_TECHNICAL,MUSIC,HOBBY
Is the image of the group or singer more important than the music?,NON_TECHNICAL,MUSIC,HOBBY
Can you think of examples of music calming people or increasing their efficiency?,NON_TECHNICAL,MUSIC,HOBBY
Do you mind singing to other people? (Another wording: ...singing in front of people?),NON_TECHNICAL,MUSIC,HOBBY
If you don't mind then how large an audience would be too many?,NON_TECHNICAL,MUSIC,HOBBY
While listening to the radio do you ever want to sing the song that is being played?,NON_TECHNICAL,MUSIC,HOBBY
Why do you think some people believe opera singers should be fat?,NON_TECHNICAL,MUSIC,HOBBY
Do you think music can heal sick people?,NON_TECHNICAL,MUSIC,HOBBY
Do you think that animals can enjoy music? How do you know?,NON_TECHNICAL,MUSIC,HOBBY
Do you think that music can help make world peace? How?,NON_TECHNICAL,MUSIC,HOBBY
How important do you think a good music teacher is to mastering an instrument?,NON_TECHNICAL,MUSIC,HOBBY
What do you think the next piece of music technology will be after digital technology?,NON_TECHNICAL,MUSIC,HOBBY
If you could invent a new instrument what would it sound like?,NON_TECHNICAL,MUSIC,HOBBY
Do you think the use of drugs by some musicians increases their artistic creativity?,NON_TECHNICAL,MUSIC,HOBBY
Who is your favorite composer?,NON_TECHNICAL,MUSIC,HOBBY
Did you go to the symphony when you were a child?,NON_TECHNICAL,MUSIC,HOBBY
Do your brothers and sisters also love classical music?,NON_TECHNICAL,MUSIC,HOBBY
What makes a song popular for you the lyrics of the song or the melody?,NON_TECHNICAL,MUSIC,HOBBY
Why is the recorder called the recorder?,NON_TECHNICAL,MUSIC,HOBBY
Who is the most famous musician from your country?,NON_TECHNICAL,MUSIC,HOBBY
Do you think it is wrong to download music for free?,NON_TECHNICAL,MUSIC,HOBBY
Do you prefer listening to songs in your own language or in another language? Why?,NON_TECHNICAL,MUSIC,HOBBY
Does music affect unborn children?,NON_TECHNICAL,MUSIC,HOBBY
Do you think that people form different cultures react to music in different ways?,NON_TECHNICAL,MUSIC,HOBBY
What do you think of when you listen to music?,NON_TECHNICAL,MUSIC,HOBBY
What kind or style of music would it be weird for your parents to listen to? Why?,NON_TECHNICAL,MUSIC,HOBBY
If you could be any musician in the world who would you be and why?,NON_TECHNICAL,MUSIC,HOBBY
If you could be a musician who would you be?,NON_TECHNICAL,MUSIC,HOBBY
Where is your favorite place to shop for clothes?,NON_TECHNICAL,SHOPPING,HOBBY
What products do you prefer to shop online for?,NON_TECHNICAL,SHOPPING,HOBBY
What products do you prefer to shop in stores for?,NON_TECHNICAL,SHOPPING,HOBBY
How do you feel about sales people following you and helping you when you shop?,NON_TECHNICAL,SHOPPING,HOBBY
What makes a pleasant shopping experience?,NON_TECHNICAL,SHOPPING,HOBBY
How do you feel about shopping at department stores or malls?,NON_TECHNICAL,SHOPPING,HOBBY
What is your favorite ecommerce site? Why?,NON_TECHNICAL,SHOPPING,HOBBY
Do you know anyone who is addicted to shopping? Are you addicted to shopping?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever bought any counterfeit products like fake designer bags clothing or jewelry?,NON_TECHNICAL,SHOPPING,HOBBY
Do you enjoy shopping for other people?,NON_TECHNICAL,SHOPPING,HOBBY
About how much did you spend on presents last year?,NON_TECHNICAL,SHOPPING,HOBBY
About how much do you usually spend each day?,NON_TECHNICAL,SHOPPING,HOBBY
Are you a price conscious shopper?,NON_TECHNICAL,SHOPPING,HOBBY
Are you good at saving money?,NON_TECHNICAL,SHOPPING,HOBBY
Are you saving money to buy something?,NON_TECHNICAL,SHOPPING,HOBBY
If so what are you planning to buy?,NON_TECHNICAL,SHOPPING,HOBBY
How much will it cost?,NON_TECHNICAL,SHOPPING,HOBBY
How much longer will you need to save before you can buy it?,NON_TECHNICAL,SHOPPING,HOBBY
Do banks pay a higher percent of interest here or in your country?,NON_TECHNICAL,SHOPPING,HOBBY
Do you compare prices at different stores when you shop?,NON_TECHNICAL,SHOPPING,HOBBY
Do you enjoy shopping?,NON_TECHNICAL,SHOPPING,HOBBY
Do you ever buy second-hand things? ("used things"),NON_TECHNICAL,SHOPPING,HOBBY
Do you ever give money to charity?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever owed money to people?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever bought a lottery ticket?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever found any money? If so what did you do with it?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever given money to a beggar?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever given money to a homeless person?,NON_TECHNICAL,SHOPPING,HOBBY
Have you ever had any money stolen from you?,NON_TECHNICAL,SHOPPING,HOBBY
How important is money to you?,NON_TECHNICAL,SHOPPING,HOBBY
How often do you go shopping?,NON_TECHNICAL,SHOPPING,HOBBY
If someone gave you a lot of money what would you do with it?,NON_TECHNICAL,SHOPPING,HOBBY
If someone gave you a million rs what would you do with it?,NON_TECHNICAL,SHOPPING,HOBBY
Some people say that "money makes the world go around." Do you agree? Why or why not?,NON_TECHNICAL,SHOPPING,HOBBY
What bank do you use?,NON_TECHNICAL,SHOPPING,HOBBY
What do you need to buy next?,NON_TECHNICAL,SHOPPING,HOBBY
What do you spend most of your money on?,NON_TECHNICAL,SHOPPING,HOBBY
What do you spend the most money on each month?,NON_TECHNICAL,SHOPPING,HOBBY
What do you want to buy next?,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you have bought recently that cost a lot of money?,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you have bought recently that was a good bargain?,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you have bought recently?,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you want to buy but don't have enough money to buy.,NON_TECHNICAL,SHOPPING,HOBBY
What is something that you want to buy but think you never will.,NON_TECHNICAL,SHOPPING,HOBBY
What is your opinion of discount stores?,NON_TECHNICAL,SHOPPING,HOBBY
What kind of things do you often shop for?,NON_TECHNICAL,SHOPPING,HOBBY
What kinds of things are you saving your money for?,NON_TECHNICAL,SHOPPING,HOBBY
What store did you like best and what store did you like least?,NON_TECHNICAL,SHOPPING,HOBBY
What was the last thing you bought for someone else?,NON_TECHNICAL,SHOPPING,HOBBY
What was the last thing you bought for yourself?,NON_TECHNICAL,SHOPPING,HOBBY
What was the last thing you spent money on?,NON_TECHNICAL,SHOPPING,HOBBY
What's the most expensive thing you have ever bought?,NON_TECHNICAL,SHOPPING,HOBBY
What's the most expensive thing you've ever bought?,NON_TECHNICAL,SHOPPING,HOBBY
What's the most money you have spend on one thing?,NON_TECHNICAL,SHOPPING,HOBBY
